,notice_date,reason,company,address,county,phone,business_type,affected,total_employees,layoff_date,dislocation,union,classification
350,4/16/2020,Temporary Plant Closing,MUJI U.S.A.,"250 W. 39th Street, Suite 202 New York, NY 10018",NY/Queens/Kings County,(646) 366-0515,Retail,247,,4/20/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
351,4/15/2020,Temporary Plant Layoff,"NYC & Company, Inc.","810 Seventh Avenue, 3rd Floor New York, NY 10019",New York County,(212) 484-1230,Travel and Tourism,77,,4/30/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
352,4/16/2020,Temporary Plant Closing,Zara USA,"666 Fifth Avenue New York, NY 10019",New York/Kings/Richmond County,(646) 856-7346,Clothing Retail,717,,3/17/2020,Unforeseeable business circumstances prompted by COVID-19,RWDSU Local 1102,Temporary Plant Closing
353,4/16/2020,Temporary Plant Closing,Zara USA,"630 Old Country Road Garden City, NY 11530",Suffolk/Nassua County,(646) 856-7346,Clothing Retail,89,,3/17/2020,Unforeseeable business circumstances prompted by COVID-19,RWDSU Local 1102,Temporary Plant Closing
354,4/16/2020,Temporary Plant Closing,Zara USA,"1000 Palisades Center Drive West Nyack, NY 10994",Westchester/Rockland County,(646) 856-7346,Clothing Retail,68,,3/17/2020,Unforeseeable business circumstances prompted by COVID-19,RWDSU Local 1102,Temporary Plant Closing
355,4/16/2020,Temporary Plant Closing,Zara USA,"1 Walden Galleria Buffalo, NY 14225",Erie County,(646) 856-7346,Clothing Retail,22,,3/17/2020,Unforeseeable business circumstances prompted by COVID-19,RWDSU Local 1102,Temporary Plant Closing
356,4/16/2020,Temporary Plant Closing,Zara USA,"1 Crossgates Mall Road Albany, NY 12203",Albany County,(646) 856-7346,Clothing Retail,22,,3/17/2020,Unforeseeable business circumstances prompted by COVID-19,RWDSU Local 1102,Temporary Plant Closing
357,3/27/2020,Temporary Plant Layoff,American Management Association International (NYC),"1601 Broadway New York, NY 10019",New York County,(212) 903-8018,Consulting Group,26,,(21),Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
358,3/27/2020,Temporary Plant Layoff,American Management Association International (Saranac Lake),"600 AMA Way Saranac Lake, NY 12983",Franklin/Clinton County,(212) 903-8018,Consulting Group,28,,(27),Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
359,4/8/2020,Temporary Plant Layoff,Del Frisco's Grille of New York LLC dba Del Frisco's Grille - New York,"60 Rockefeller Plaza, Suite H New York, NY 10020",New York County,(713) 850-1010,Restaurant,,,4/8/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
360,4/8/2020,Temporary Plant Layoff,Del Frisco's of New York LLC dba Del Frisco's - New York,"1221 Avenue of the Americas New York, NY 10020",New York County,(713) 850-1010,Restaurant,251,,4/8/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
361,4/8/2020,Temporary Plant Layoff,Morton's of Chicago/Fifth Ave. dba Morton's - New York,"551 5th Avenue New York, NY 10176",New York County,(713) 850-1010,Restaurant,69,,4/8/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
362,4/13/2020,Temporary Plant Layoff,Stoler of Westbury dba Westbury Toyota,"1121 Old Country Road Westbury, NY 11590",Nassau County,(516) 368-8744,Auto Dealership,81,116,3/22/2020,Unforeseeable business circumstances prompted by COVID-19,United Automobile Workers of America,Temporary Plant Layoff
363,4/7/2020,Temporary Plant Layoff,ADI of NY LLC,"1309 Old Country Road Riverhead, NY 11901",Suffolk County,(631) 727-0700,Auto Dealership,10,,3/31/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
364,4/7/2020,Temporary Plant Layoff,Eagle Auto Mall Corp.,"1320 Old Country Road Riverhead, NY 11901",Suffolk County,(631) 727-0700,Auto Dealership,25,,3/31/2020,Unforeseeable business circumstances prompted by COVID-19,United Welfare Fund Local 355,Temporary Plant Layoff
365,4/7/2020,Temporary Plant Layoff,"Eagle Auto Mall Sales, Inc. dba Eagle Chevrolet","1330 Old Country Road Riverhead, NY 11901",Suffolk County,(631) 727-0700 Ext,Auto Dealership,30,,3/31/2020,Unforeseeable business circumstances prompted by COVID-19,United Welfare Fund Local 355,Temporary Plant Layoff
366,4/13/2020,Temporary Plant Layoff,"ICR, Inc.","6 Neptune Road Poughkeepsie, NY 12601",Dutchess County,(845) 298-0700,"Communication, Public Relations",50,,3/27/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
367,4/14/2020,Temporary Plant Layoff,"SUNation Solar Systems, Inc.","171 Remington Blvd. Ronkonkoma, NY 11779",Suffolk County,(631) 750-9454,Solar Energy Equipment,128,,3/22/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
368,4/8/2020,Temporary Plant Layoff,"Houlihan's Farmingdale, LLC dba Houlihan's – Farmingdale","923 Broad Road, Route 110 Farmingdale, NY 11735",Nassau County,(713) 850-1010,Restaurant,85,,4/8/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
369,4/13/2020,Temporary Plant Layoff,Palm New York Downtown LLC dba The Palm - New York (Tribeca),"206 West Street New York, NY 10282",New York County,(713) 850-1010,Restaurant,126,,4/13/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
370,4/13/2020,Temporary Plant Layoff,Palm West Corporation dba The Palm - West NY,"250 West 50th Street New York, NY 10019",New York County,(713) 850-1010,Restaurant,78,,4/13/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
371,4/14/2020,Plant Layoff,Fortune Media,"40 Fulton Street New York, NY 10038",New York County,(917) 273-5013,Media Company,27,,4/30/2020,Unforeseeable business circumstances prompted by COVID-19,"NewsGuild of New York, TNG/CWA, Local 31003",Plant Layoff
372,3/17/2020,Temporary Plant Layoff,"Bella Coppia, LLC dba Nick & Toni's Restaurant","136 N Main Street East Hampton, NY 11937",Suffolk County,(631) 324-0068,Restaurant,24,,3/16/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
373,3/31/2020,Temporary Plant Layoff,"J.M. Haley, Corporation","151 Toledo Street Farmingdale, NY 11735",Nassau County,(516) 582-7904,Sheet Metal Contractor,44,,3/31/2020,Unforeseeable business circumstances prompted by COVID-19,United Service Workers Local 355,Temporary Plant Layoff
374,3/20/2020,Temporary Plant Layoff,The Argyle Group LLC,"50 Broad Street New York, NY 10004",New York County,(646) 839-0012,Executive Events Company,24,,3/20/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
375,4/10/2020,Temporary Plant Closing,"Abercrombie & Fitch, abercrombie kids, Hollister Co., and Gilly Hicks","Eastview Mall Victor, NY 14564",Ontario County,(614) 283-7292,Retail clothing store,67,67,Furloughs,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
376,4/10/2020,Temporary Plant Closing,"Abercrombie & Fitch, abercrombie kids, Hollister Co., and Gilly Hicks","Destiny USA Syracuse, NY 13204",Onondaga County,(614) 283-7292,Retail clothing store,83,83,Furloughs,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
377,4/10/2020,Temporary Plant Closing,"Abercrombie & Fitch, abercrombie kids, Hollister Co., and Gilly Hicks","Crossgates Mall Albany, NY 12203",Albany County,(614) 283-7292,Retail clothing store,86,86,Furloughs,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
378,4/10/2020,Temporary Plant Closing,"Abercrombie & Fitch, abercrombie kids, Hollister Co., and Gilly Hicks",(14 affected sites),Nassau County,(614) 283-7292,Retail clothing store,696,696,Furloughs,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
379,4/10/2020,Temporary Plant Closing,"Abercrombie & Fitch, abercrombie kids, Hollister Co., and Gilly Hicks",(2 affected sites),Erie County,(614) 283-7292,Retail clothing store,71,71,Furloughs,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
380,4/10/2020,Temporary Plant Closing,"Abercrombie & Fitch, abercrombie kids, Hollister Co., and Gilly Hicks","Hollister Co. 601-635 Harry L Drive, Ste 72 Johnson City, NY 13790",Broome County,(614) 283-7292,Retail clothing store,37,37,Furloughs,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
381,4/10/2020,Temporary Plant Closing,"Abercrombie & Fitch, abercrombie kids, Hollister Co., and Gilly Hicks",(2 affected sites),Jefferson County,(614) 283-7292,Retail clothing store,63,63,Furloughs,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
382,4/10/2020,Temporary Plant Closing,"Abercrombie & Fitch, abercrombie kids, Hollister Co., and Gilly Hicks",(8 affected sites),New York/Kings/Queens/Richmond County,(614) 283-7292,Retail clothing store,"1,166",1166,Furloughs,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
383,4/10/2020,Temporary Plant Closing,"Abercrombie & Fitch, abercrombie kids, Hollister Co., and Gilly Hicks","Hollister Co. 1 Sangertown Square, Ste. 72 New Hartford, NY 13413",Oneida County,(614) 283-7292,Retail clothing store,26,26,Furloughs,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
384,4/10/2020,Temporary Plant Closing,"Abercrombie & Fitch, abercrombie kids, Hollister Co., and Gilly Hicks",(11 sites),Orange County,(614) 283-7292,Retail clothing store,401,401,Furloughs,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
385,2/27/2020,Plant Closing,Maplebear Inc. dba Instacart (in-store operations across Fairway Market stores),"50 Manetto Hill Rd Plainview, NY 11803",Nassau County,(650) 549-7334,Same-day grocery delivery and pick-up service,22,182,March,Winding down its in-store operations across Fairway Market stores in light of the retailer's recent bankruptcy filing and potential store closures.,The employees are not represented by a union.,Plant Closing
386,3/31/2020,Temporary Plant Closing,The Goodyear Tire & Rubber Company,"5500 Goodyear Drive Niagara Falls, NY 14304",Niagara County,(716) 236-2649,Manufacturer,41,,30,Unforeseeable business circumstances prompted by COVID-19,United Steel Workers Local 4-277,Temporary Plant Closing
387,3/24/2020,Temporary Plant Layoff,"Soho House New York, LLC","515 W. 20th Street New York, NY 10011",New York County,(646) 483-0603,Hotel,67,67,18,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
388,3/24/2020,Temporary Plant Closing,"Soho House New York, Inc.","Members Club 29 9th Ave New York, NY 10014",New York County,(646) 483-0603,Hotel,244,244,14,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
389,3/24/2020,Temporary Plant Closing,"Soho Ludlow Tenant, Inc.","Members Club 139 Ludlow Street New York, NY 10002",New York County,(646) 483-0603,Hotel,112,112,Seven,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
390,4/3/2020,Temporary Plant Closing,Soho-Works 55 Water Inc.,"55 Water Street Brooklyn, NY 11201",Kings County,(907) 852-3435,Restaurant,8,8,3/17/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
391,4/2/2020,Temporary Plant Layoff,"Altamarea Group, LLC","Marea 240 Central Park South New York, NY 10019",New York County,(347) 854-0160,Restaurant,,,3/17/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
392,4/6/2020,Temporary Plant Closing,"StructureTech New York, Inc.","1241 Broadway New York, NY 10001",Kings/New York County,(212) 732-5400 Ext,General Contractor,579,579,3/30/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
393,4/7/2020,Temporary Plant Layoff,Stoler of Queens Inc. dba Silver Star Motors,"36-11 Norther Blvd. Long Island City, NY 11101",Queens County,(718) 361-2332,Auto Dealership,53,114,3/31/2020,Unforeseeable business circumstances prompted by COVID-19,Local 1102 RWDSU/UFCW,Temporary Plant Layoff
394,4/14/2020,Temporary Plant Layoff,ALM Media LLC,"150 East 42nd Street, Mezzanine Level New York, NY 10017",New York County,(212) 457-9437,Media Company,5,,4/14/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
395,4/15/2020,Plant Closing,Letgo Group B.V.,"490 Broadway, 5th Floor New York, NY 10012",New York County,(414) 793-4030,Internet Retail,49,,6/30/2020,Economic,The employees are not represented by a union,Plant Closing
396,4/15/2020,Temporary Plant Layoff,"Hearth Restaurant Investors, LLC","403 East 12th Street New York, NY 10009",New York County,(646) 602-1300,Restaurant,51,57,3/20/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
397,4/15/2020,Temporary Plant Layoff,"Brodofication, LLC","403 East 12th Street New York, NY 10009",New York County,(646) 602-1300,Broth Shop,34,57,4/10/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
398,4/13/2020,Temporary Plant Layoff,"Strip House 44th Street, LLC dba Strip House - Midtown (44th)","15 West 44th Street New York, NY 10036",New York County,(713) 850-1010,Restaurant,70,,4/13/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
399,4/13/2020,Temporary Plant Layoff,"Strip House Restaurants, LLC dba Strip House - Downtown (12th)","13 East 12th Street New York, NY 10003",New York County,(713) 850-1010,Restaurant,64,,4/13/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
400,4/13/2020,Temporary Plant Layoff,"Perry Ellis International, Inc.","1120 Avenue of the Americas, 8th Floor New York, NY 10036",New York County,(305) 873-1226,"Designer, Distribution and Licensor of Apparel",77,,4/24/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
401,4/9/2020,Temporary Plant Layoff,"Cast & Crew Payroll, LLC","7 Penn Plaza, Suite 601 New York, NY 10001",New York County,(818) 848-6022,Payroll & HR Services,40,,4/10/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
402,4/2/2020,Temporary Plant Layoff,New Museum of Contemporary Art,"235 Bowery New York, NY 10002",New York County,(212) 219-1222 Ext,Museum,,,4/2/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
403,4/6/2020,Temporary Plant Closing,Soho - Dumbo Inc.,"55 Water Street Brooklyn, NY 11201",Kings County,(907) 852-3435,Restaurant,102,102,3/16/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
404,4/6/2020,Temporary Plant Closing,"Soho-Cecconis (Water Street), LLC","55 Water Street Brooklyn, NY 11201",Kings County,(908) 752-3435,Restaurant,104,104,3/16/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
405,3/26/2020,Temporary Plant Layoff,"Suit Supply (USA), Inc.","1000 3rd Avenue New York, NY 10022",New York/Kings County,(252) 258-5617,Suit Retail,173,,3/29/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
406,3/26/2020,Temporary Plant Layoff,"Suit Supply (USA), Inc.","1000 3rd Avenue New York, NY 10022",New York/Kings County,(252) 258-5617,Suit Retail,173,,3/29/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
407,4/2/2020,Temporary Plant Layoff,"Unicell Body Company, Inc.","571 Howard Street Buffalo, NY 14206",Erie County,(800) 628-8914 Ext,Fiberglass Manufacturing,25,,3/20/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
408,4/17/2020,Temporary Plant Layoff,TravelCenters of America,"1255 Route 414 Waterloo, NY 13165",Seneca County,(440) 808-4463,Travel Center,27,,4/14/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
409,4/15/2020,Temporary Plant Layoff,"MJ Mechanical Services, Inc.","95 Pirson Parkway Tonawanda, NY 14150",Erie County,(716) 844-3613,Mechanical Contractor,38,,3/23/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
410,3/23/2020,Temporary Plant Layoff,Shults Auto Group,"181 E. Fairmount Avnue, Suite 200 Lakewood, NY 14750",Cattaraugus/Chautauqua County,716-763-1551,Auto Dealership,,,3/20/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
411,4/15/2020,Temporary Plant Layoff,Voxx International Corporation,"180 Marcus Blvd. Hauppauge, NY 11788",Suffolk County,(631) 436-6589,Consumer Electronics Company,31,,4/6/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
412,4/3/2020,Temporary Plant Layoff,Omega Moulding Company,"1 Sawdust Dr. Bellport, NY 11713",Suffolk County,(800) 289-6634 Ext,Moulding Wholesaler,86,93,4/1/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
413,4/1/2020,Temporary Plant Layoff,Barteca dba bartaco,"1 Willet Avenue Port Chester, NY 10573",Westchester County,(703) 244-8972,Restaurant,80,,3/21/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
414,4/10/2020,Temporary Plant Layoff,"Mid Rockland Imaging Partners, Inc.","4160 Merrick Road Massapequa, NY 11758",Nassau/Suffolk County,(302) 533-2102,Medical Imaging,16,,3/25/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union.,Temporary Plant Layoff
415,4/10/2020,Temporary Plant Layoff,"Mid Rockland Imaging Partners, Inc.","2106 Bronxdale Avenue, Suite 102 Bronx, NY 10462",Bronx/Kings/NY/Queens County,(302) 533-2102,Medical Imaging,66,,3/25/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
416,3/16/2020,Temporary Plant Layoff,Lucky,"13 Associates, LLC dba Catch New York 21 Ninth Ave New York, NY 10014",New York County,(212) 627-1235,Restaurant,376,,356,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
417,3/30/2020,Temporary Plant Closing,Yeshivah of Flatbush,"919 East 10th Street Brooklyn, NY 11230",Kings County,(718) 377-4040 Ext,School,197,197,34,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
418,3/16/2020,Temporary Plant Layoff,"88 Ninth Avenue Hospitality, LLC dba Catch Steak","88 Ninth Ave. New York, NY 10011",New York County,(212) 627-1235 Ext,Restaurant,353,,330,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
419,3/20/2020,Plant Layoff,Patriot Electric Corp.,"15-17 126th St. College Point, NY 11356",Queens County,(718) 736-8733 Ext,Electrical Contracting,131,,69,Unforeseeable business circumstances prompted by COVID-19,Local 363 - United Service Workers of America,Plant Layoff
420,3/27/2020,Temporary Plant Closing,Omni Berkshire Corporation dba Omni Berkshire Place Hotel,"21 East 52nd Street New York, NY 10022",New York County,(212) 754-5001,Hotel,268,,52,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
421,3/19/2020,Temporary Plant Layoff,"The Bowery Hotel, LLC","335 Bowery New York, NY 10003",New York County,(212) 505-9100,Hotel,90,,87,Unforeseeable business circumstances prompted by COVID-19,"New York Hotel & Motel Trades Council, AFL-CIO",Temporary Plant Layoff
422,3/16/2020,Temporary Plant Layoff,"Lexington Project Managers, LLC dba Lexington Brass","517 Lexington Ave. New York, NY 10017",New York County,(212) 627-1235 Ext,Restaurant,89,,81,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
423,4/8/2020,Temporary Plant Closing,Moose Goose Holding Inc. dba The Grey Dog,"242 West 16th Street New York, NY 10011",New York County,(410) 206-6460,Restaurant,57,57,3/16/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
424,4/8/2020,Temporary Plant Closing,Moose Goose Holding Inc. dba The Grey Dog,"49 Carmine Street New York, NY 10014",New York County,(410) 206-6460,Restaurant,32,32,3/16/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
425,4/8/2020,Temporary Plant Closing,Moose Goose Holding Inc. dba The Grey Dog,"244 Mulberry Street New York, NY 10012",New York County,(410) 206-6460,Restaurant,39,39,3/16/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
426,4/8/2020,Temporary Plant Closing,Moose Goose Holding Inc. dba The Grey Dog,"90 University Place New York, NY 10003",New York County,(410) 206-6460,Restaurant,31,31,3/16/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
427,4/7/2020,Temporary Plant Layoff,Crestline Hotels & Resorts Hilton Garden Inn Islip/MacArthur Airport,"3485 Veterans Memorial Highway Ronkonkoma, NY 11779",Suffolk County,(571) 529-6362,Hotel,34,,3/27/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
428,4/8/2020,Temporary Plant Layoff,Hotel Pennsylvania,"401 Seventh Avenue New York, NY 10001",New York County,(917) 842-3908,Hotel,410,,4/2/2020,Unforeseeable business circumstances prompted by COVID-19,"New York Hotel & Motel Trades Council, AFL-CIO",Temporary Plant Layoff
429,3/29/2020,Temporary Plant Closing,Major Food Group (MFG) 375 Park Food LLC,"99 East 52nd Street New York, NY 10022",New York County,-----,Restaurant,176,176,3/16/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
430,4/7/2020,Temporary PLant Layoff,Avianca,"JFK International Airport Terminal #4B Concourse 2nd Floor, Room 275-168 Jamaica, NY 11430",Queens County,(305) 599-7200 Ext,Airline,5,,4/1/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
431,4/13/2020,Temporary Plant Layoff,"Manhattan Luxury Automobiles, Inc.","627 11th Avenue New York, NY 10036",New York County,(201) 255-1243,Auto Dealership,59,,3/25/2020,Unforeseeable business circumstances prompted by COVID-19,Local 259 UAW,Temporary Plant Layoff
432,4/13/2020,Temporary Plant Layoff,"Lexus of Queens - Manhattan Luxury Automobiles, Inc.","40-40 Northern Blvd. Long Island City, NY 11101",Queens County,(201) 255-1243,Auto Dealership,82,,3/25/2020,Unforeseeable business circumstances prompted by COVID-19,Local 259 UAW,Temporary Plant Layoff
433,4/14/2020,Temporary Plant Layoff,Building Maintenance Service LLC,"11 Penn Plaza New York, NY 10001",New York County,(212) 345-0405,Cleaning Services,206,,-----,Unforeseeable business circumstances prompted by COVID-19,"Local 32BJ, Service Employees International Union",Temporary Plant Layoff
434,4/14/2020,Temporary Plant Layoff,Vornado Two Penn Plaza LLC,"11 Penn Plaza New York, NY 10001",New York County,(201) 345-0405,Realty,31,,-----,Unforeseeable business circumstances prompted by COVID-19,"Local 32BJ, Service Employees International Union",Temporary Plant Layoff
435,4/14/2020,Temporary Plant Layoff,770 Broadway Company LLC,"11 Penn Plaza New York, NY 10001",New York County,(201) 345-0405,Realty,58,,-----,Unforeseeable business circumstances prompted by COVID-19,"Local 32BJ, Service Employees International Union",Temporary Plant Layoff
436,4/14/2020,Temporary Plant Layoff,Broadway Park Fee LLC,"11 Penn Plaza New York, NY 10001",New York County,(201) 345-0405,Realty,40,,-----,Unforeseeable business circumstances prompted by COVID-19,"Local 32BJ, Service Employees International Union",Temporary Plant Layoff
437,4/14/2020,Temporary Plant Layoff,Eleven Penn Plaza LLC,"11 Penn Plaza New York, NY 10001",New York County,(201) 345-0405,Realty,34,,-----,Unforeseeable business circumstances prompted by COVID-19,"Local 32BJ, Service Employees International Union",Temporary Plant Layoff
438,4/14/2020,Temporary Plant Layoff,Ninety Park Property LLC,"11 Penn Plaza New York, NY 10001",New York County,(201) 345-0405,Realty,31,,-----,Unforeseeable business circumstances prompted by COVID-19,"Local 32BJ, Service Employees International Union",Temporary Plant Layoff
439,4/14/2020,Temporary Plant Layoff,VNO 100 West 33rd Street LLC,"11 Penn Plaza New York, NY 10001",New York County,(201) 345-0405,Realty,42,,-----,Unforeseeable business circumstances prompted by COVID-19,"Local 32BJ, Service Employees International Union",Temporary Plant Layoff
440,4/14/2020,Temporary Plant Layoff,888 Seventh Ave LLC,"11 Penn Plaza New York, NY 10001",New York County,(201) 345-0405,Realty,29,,-----,Unforeseeable business circumstances prompted by COVID-19,"Local 32BJ, Service Employees International Union",Temporary Plant Layoff
441,4/13/2020,Temporary Plant Layoff,"Westchester Toyota Westchester Foreign Autos, Inc.","2167 Central Park Avenue Yonkers, NY 10710",Westchester County,(201) 255-1243,Auto Dealership,100,,3/25/2020,Unforeseeable business circumstances prompted by COVID-19,Local No 810,Temporary Plant Layoff
442,4/13/2020,Temporary Plant Layoff,Bay Ridge Chevrolet Inc.,"1575 86th Street Brooklyn, NY 11220",Kings County,(201) 255-1243,Auto Dealership,39,,3/25/2020,Unforeseeable business circumstances prompted by COVID-19,Local 259 UAW,Temporary Plant Layoff
443,4/13/2020,Temporary Plant Layoff,"Toyota of Manhattan - Skyline Automobiles, Inc.","645 11th Avenue New York, NY 10036",New York County,(201) 255-1243,Auto Dealership,75,,3/25/2020,Unforeseeable business circumstances prompted by COVID-19,Local 259 UAW,Temporary Plant Layoff
444,4/13/2020,Temporary Plant Layoff,"Bay Ridge Nissan, Inc.","6501 5th Avenue Brooklyn, NY 11220",Kings County,(201) 255-1243,Auto Dealership,96,,3/25/2020,Unforeseeable business circumstances prompted by COVID-19,Teamsters Local Union NO 202,Temporary Plant Layoff
445,4/13/2020,Temporary Plant Layoff,"Bay Ridge Foreign Autos, Inc.","665 65th Street Brooklyn, NY 11220",Kings County,(201) 255-1243,Auto Dealership,70,,3/25/2020,Unforeseeable business circumstances prompted by COVID-19,Teamsters Local Union NO 202,Temporary Plant Layoff
446,4/6/2020,Temporary Plant Layoff,Heinrich Chevrolet Corp.,"5775 S Transit Road Lockport, NY 14094",Niagara County,(716) 478-0742,Auto Dealership,72,74,3/21/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union. Non Union,Temporary Plant Layoff
447,4/8/2020,Temporary Plant Layoff,Morton's of Chicago/Fifth Ave. dba Morton's - New York,"551 5th Avenue New York, NY 10176",New York County,(713) 850-1010,Restaurant,69,,4/8/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
448,4/8/2020,Temporary Plant Layoff,"Hamburger Intermediary, LLC dba Bill's Bar & Burger - Rock Center NY","16 West 51st Street New York, NY 10019",New York County,(713) 850-1010,Restaurant,141,,4/8/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
449,4/8/2020,Temporary Plant Layoff,"B.R. Guest Holdings, LLC dba Dos Caminos - Meatpacking NY","675 Hudson Street New York, NY 10014",New York County,(713) 850-1010,Restaurant,96,,4/8/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
